Dosya,Mesaj_Karakter_Sayısı,Mesaj,Kapasite_bps,Saldırı_Türü,BER,SNR_dB
pop.00076.wav,1,A,0.26666505417956654,No Attack,0.0,60.559483
pop.00076.wav,1,A,0.26666505417956654,AWGN 30dB,0.0,60.559483
pop.00076.wav,1,A,0.26666505417956654,AWGN 20dB,0.125,60.559483
pop.00076.wav,1,A,0.26666505417956654,LPF 12kHz,0.0,60.559483
pop.00076.wav,1,A,0.26666505417956654,LPF 8kHz,0.0,60.559483
pop.00076.wav,1,A,0.26666505417956654,Resampling 16kHz,0.0,60.559483
pop.00076.wav,1,A,0.26666505417956654,Cropping %5,0.0,60.559483
pop.00076.wav,1,A,0.26666505417956654,Cropping %10,0.0,60.559483
pop.00076.wav,1,A,0.26666505417956654,Amplitude x2,0.0,60.559483
pop.00076.wav,1,A,0.26666505417956654,Amplitude x0.5,0.0,60.559483
pop.00076.wav,1,A,0.26666505417956654,TSM +%5,0.5,60.559483
pop.00076.wav,1,A,0.26666505417956654,TSM -%5,0.375,60.559483
pop.00076.wav,4,TEST,1.0666602167182662,No Attack,0.0,50.38388
pop.00076.wav,4,TEST,1.0666602167182662,AWGN 30dB,0.0,50.38388
pop.00076.wav,4,TEST,1.0666602167182662,AWGN 20dB,0.21875,50.38388
pop.00076.wav,4,TEST,1.0666602167182662,LPF 12kHz,0.0,50.38388
pop.00076.wav,4,TEST,1.0666602167182662,LPF 8kHz,0.0,50.38388
pop.00076.wav,4,TEST,1.0666602167182662,Resampling 16kHz,0.0,50.38388
pop.00076.wav,4,TEST,1.0666602167182662,Cropping %5,0.0,50.38388
pop.00076.wav,4,TEST,1.0666602167182662,Cropping %10,0.0,50.38388
pop.00076.wav,4,TEST,1.0666602167182662,Amplitude x2,0.0,50.38388
pop.00076.wav,4,TEST,1.0666602167182662,Amplitude x0.5,0.0,50.38388
pop.00076.wav,4,TEST,1.0666602167182662,TSM +%5,0.46875,50.38388
pop.00076.wav,4,TEST,1.0666602167182662,TSM -%5,0.40625,50.38388
pop.00076.wav,8,GTZAN_WM,2.1333204334365323,No Attack,0.0,48.850826
pop.00076.wav,8,GTZAN_WM,2.1333204334365323,AWGN 30dB,0.0,48.850826
pop.00076.wav,8,GTZAN_WM,2.1333204334365323,AWGN 20dB,0.328125,48.850826
pop.00076.wav,8,GTZAN_WM,2.1333204334365323,LPF 12kHz,0.0,48.850826
pop.00076.wav,8,GTZAN_WM,2.1333204334365323,LPF 8kHz,0.0,48.850826
pop.00076.wav,8,GTZAN_WM,2.1333204334365323,Resampling 16kHz,0.0,48.850826
pop.00076.wav,8,GTZAN_WM,2.1333204334365323,Cropping %5,0.0,48.850826
pop.00076.wav,8,GTZAN_WM,2.1333204334365323,Cropping %10,0.0,48.850826
pop.00076.wav,8,GTZAN_WM,2.1333204334365323,Amplitude x2,0.0,48.850826
pop.00076.wav,8,GTZAN_WM,2.1333204334365323,Amplitude x0.5,0.0,48.850826
pop.00076.wav,8,GTZAN_WM,2.1333204334365323,TSM +%5,0.484375,48.850826
pop.00076.wav,8,GTZAN_WM,2.1333204334365323,TSM -%5,0.5,48.850826
pop.00076.wav,19,CAPACITY_TEST_LIMIT,5.0666360294117645,No Attack,0.0,44.23114
pop.00076.wav,19,CAPACITY_TEST_LIMIT,5.0666360294117645,AWGN 30dB,0.013157894736842105,44.23114
pop.00076.wav,19,CAPACITY_TEST_LIMIT,5.0666360294117645,AWGN 20dB,0.13157894736842105,44.23114
pop.00076.wav,19,CAPACITY_TEST_LIMIT,5.0666360294117645,LPF 12kHz,0.0,44.23114
pop.00076.wav,19,CAPACITY_TEST_LIMIT,5.0666360294117645,LPF 8kHz,0.0,44.23114
pop.00076.wav,19,CAPACITY_TEST_LIMIT,5.0666360294117645,Resampling 16kHz,0.0,44.23114
pop.00076.wav,19,CAPACITY_TEST_LIMIT,5.0666360294117645,Cropping %5,0.02631578947368421,44.23114
pop.00076.wav,19,CAPACITY_TEST_LIMIT,5.0666360294117645,Cropping %10,0.05263157894736842,44.23114
pop.00076.wav,19,CAPACITY_TEST_LIMIT,5.0666360294117645,Amplitude x2,0.0,44.23114
pop.00076.wav,19,CAPACITY_TEST_LIMIT,5.0666360294117645,Amplitude x0.5,0.0,44.23114
pop.00076.wav,19,CAPACITY_TEST_LIMIT,5.0666360294117645,TSM +%5,0.5197368421052632,44.23114
pop.00076.wav,19,CAPACITY_TEST_LIMIT,5.0666360294117645,TSM -%5,0.506578947368421,44.23114
pop.00076.wav,22,0123456789012345678912,5.866631191950464,No Attack,0.011363636363636364,43.07981
pop.00076.wav,22,0123456789012345678912,5.866631191950464,AWGN 30dB,0.011363636363636364,43.07981
pop.00076.wav,22,0123456789012345678912,5.866631191950464,AWGN 20dB,0.13636363636363635,43.07981
pop.00076.wav,22,0123456789012345678912,5.866631191950464,LPF 12kHz,0.011363636363636364,43.07981
pop.00076.wav,22,0123456789012345678912,5.866631191950464,LPF 8kHz,0.011363636363636364,43.07981
pop.00076.wav,22,0123456789012345678912,5.866631191950464,Resampling 16kHz,0.011363636363636364,43.07981
pop.00076.wav,22,0123456789012345678912,5.866631191950464,Cropping %5,0.03409090909090909,43.07981
pop.00076.wav,22,0123456789012345678912,5.866631191950464,Cropping %10,0.05113636363636364,43.07981
pop.00076.wav,22,0123456789012345678912,5.866631191950464,Amplitude x2,0.011363636363636364,43.07981
pop.00076.wav,22,0123456789012345678912,5.866631191950464,Amplitude x0.5,0.011363636363636364,43.07981
pop.00076.wav,22,0123456789012345678912,5.866631191950464,TSM +%5,0.5284090909090909,43.07981
pop.00076.wav,22,0123456789012345678912,5.866631191950464,TSM -%5,0.5681818181818182,43.07981
pop.00076.wav,23,01234567890123456789123,6.133296246130031,No Attack,0.010869565217391304,42.80977
pop.00076.wav,23,01234567890123456789123,6.133296246130031,AWGN 30dB,0.021739130434782608,42.80977
pop.00076.wav,23,01234567890123456789123,6.133296246130031,AWGN 20dB,0.13043478260869565,42.80977
pop.00076.wav,23,01234567890123456789123,6.133296246130031,LPF 12kHz,0.010869565217391304,42.80977
pop.00076.wav,23,01234567890123456789123,6.133296246130031,LPF 8kHz,0.010869565217391304,42.80977
pop.00076.wav,23,01234567890123456789123,6.133296246130031,Resampling 16kHz,0.010869565217391304,42.80977
pop.00076.wav,23,01234567890123456789123,6.133296246130031,Cropping %5,0.03260869565217391,42.80977
pop.00076.wav,23,01234567890123456789123,6.133296246130031,Cropping %10,0.04891304347826087,42.80977
pop.00076.wav,23,01234567890123456789123,6.133296246130031,Amplitude x2,0.010869565217391304,42.80977
pop.00076.wav,23,01234567890123456789123,6.133296246130031,Amplitude x0.5,0.010869565217391304,42.80977
pop.00076.wav,23,01234567890123456789123,6.133296246130031,TSM +%5,0.5163043478260869,42.80977
pop.00076.wav,23,01234567890123456789123,6.133296246130031,TSM -%5,0.5597826086956522,42.80977
jazz.00007.wav,1,A,0.26654820079964464,No Attack,0.0,63.984375
jazz.00007.wav,1,A,0.26654820079964464,AWGN 30dB,0.125,63.984375
jazz.00007.wav,1,A,0.26654820079964464,AWGN 20dB,0.375,63.984375
jazz.00007.wav,1,A,0.26654820079964464,LPF 12kHz,0.0,63.984375
jazz.00007.wav,1,A,0.26654820079964464,LPF 8kHz,0.0,63.984375
jazz.00007.wav,1,A,0.26654820079964464,Resampling 16kHz,0.0,63.984375
jazz.00007.wav,1,A,0.26654820079964464,Cropping %5,0.0,63.984375
jazz.00007.wav,1,A,0.26654820079964464,Cropping %10,0.0,63.984375
jazz.00007.wav,1,A,0.26654820079964464,Amplitude x2,0.0,63.984375
jazz.00007.wav,1,A,0.26654820079964464,Amplitude x0.5,0.0,63.984375
jazz.00007.wav,1,A,0.26654820079964464,TSM +%5,0.25,63.984375
jazz.00007.wav,1,A,0.26654820079964464,TSM -%5,0.5,63.984375
jazz.00007.wav,4,TEST,1.0661928031985786,No Attack,0.0625,52.04045
jazz.00007.wav,4,TEST,1.0661928031985786,AWGN 30dB,0.25,52.04045
jazz.00007.wav,4,TEST,1.0661928031985786,AWGN 20dB,0.4375,52.04045
jazz.00007.wav,4,TEST,1.0661928031985786,LPF 12kHz,0.0625,52.04045
jazz.00007.wav,4,TEST,1.0661928031985786,LPF 8kHz,0.0625,52.04045
jazz.00007.wav,4,TEST,1.0661928031985786,Resampling 16kHz,0.0625,52.04045
jazz.00007.wav,4,TEST,1.0661928031985786,Cropping %5,0.0625,52.04045
jazz.00007.wav,4,TEST,1.0661928031985786,Cropping %10,0.0625,52.04045
jazz.00007.wav,4,TEST,1.0661928031985786,Amplitude x2,0.0625,52.04045
jazz.00007.wav,4,TEST,1.0661928031985786,Amplitude x0.5,0.0625,52.04045
jazz.00007.wav,4,TEST,1.0661928031985786,TSM +%5,0.40625,52.04045
jazz.00007.wav,4,TEST,1.0661928031985786,TSM -%5,0.4375,52.04045
jazz.00007.wav,8,GTZAN_WM,2.132385606397157,No Attack,0.03125,49.996994
jazz.00007.wav,8,GTZAN_WM,2.132385606397157,AWGN 30dB,0.140625,49.996994
jazz.00007.wav,8,GTZAN_WM,2.132385606397157,AWGN 20dB,0.234375,49.996994
jazz.00007.wav,8,GTZAN_WM,2.132385606397157,LPF 12kHz,0.03125,49.996994
jazz.00007.wav,8,GTZAN_WM,2.132385606397157,LPF 8kHz,0.03125,49.996994
jazz.00007.wav,8,GTZAN_WM,2.132385606397157,Resampling 16kHz,0.03125,49.996994
jazz.00007.wav,8,GTZAN_WM,2.132385606397157,Cropping %5,0.03125,49.996994
jazz.00007.wav,8,GTZAN_WM,2.132385606397157,Cropping %10,0.03125,49.996994
jazz.00007.wav,8,GTZAN_WM,2.132385606397157,Amplitude x2,0.03125,49.996994
jazz.00007.wav,8,GTZAN_WM,2.132385606397157,Amplitude x0.5,0.03125,49.996994
jazz.00007.wav,8,GTZAN_WM,2.132385606397157,TSM +%5,0.59375,49.996994
jazz.00007.wav,8,GTZAN_WM,2.132385606397157,TSM -%5,0.421875,49.996994
jazz.00007.wav,19,CAPACITY_TEST_LIMIT,5.0644158151932475,No Attack,0.03289473684210526,44.164585
jazz.00007.wav,19,CAPACITY_TEST_LIMIT,5.0644158151932475,AWGN 30dB,0.07894736842105263,44.164585
jazz.00007.wav,19,CAPACITY_TEST_LIMIT,5.0644158151932475,AWGN 20dB,0.13815789473684212,44.164585
jazz.00007.wav,19,CAPACITY_TEST_LIMIT,5.0644158151932475,LPF 12kHz,0.03289473684210526,44.164585
jazz.00007.wav,19,CAPACITY_TEST_LIMIT,5.0644158151932475,LPF 8kHz,0.03289473684210526,44.164585
jazz.00007.wav,19,CAPACITY_TEST_LIMIT,5.0644158151932475,Resampling 16kHz,0.03289473684210526,44.164585
jazz.00007.wav,19,CAPACITY_TEST_LIMIT,5.0644158151932475,Cropping %5,0.05921052631578947,44.164585
jazz.00007.wav,19,CAPACITY_TEST_LIMIT,5.0644158151932475,Cropping %10,0.09210526315789473,44.164585
jazz.00007.wav,19,CAPACITY_TEST_LIMIT,5.0644158151932475,Amplitude x2,0.03289473684210526,44.164585
jazz.00007.wav,19,CAPACITY_TEST_LIMIT,5.0644158151932475,Amplitude x0.5,0.03289473684210526,44.164585
jazz.00007.wav,19,CAPACITY_TEST_LIMIT,5.0644158151932475,TSM +%5,0.46710526315789475,44.164585
jazz.00007.wav,19,CAPACITY_TEST_LIMIT,5.0644158151932475,TSM -%5,0.5657894736842105,44.164585
jazz.00007.wav,22,0123456789012345678912,5.8640604175921816,No Attack,0.011363636363636364,43.52982
jazz.00007.wav,22,0123456789012345678912,5.8640604175921816,AWGN 30dB,0.07386363636363637,43.52982
jazz.00007.wav,22,0123456789012345678912,5.8640604175921816,AWGN 20dB,0.14204545454545456,43.52982
jazz.00007.wav,22,0123456789012345678912,5.8640604175921816,LPF 12kHz,0.011363636363636364,43.52982
jazz.00007.wav,22,0123456789012345678912,5.8640604175921816,LPF 8kHz,0.011363636363636364,43.52982
jazz.00007.wav,22,0123456789012345678912,5.8640604175921816,Resampling 16kHz,0.011363636363636364,43.52982
jazz.00007.wav,22,0123456789012345678912,5.8640604175921816,Cropping %5,0.028409090909090908,43.52982
jazz.00007.wav,22,0123456789012345678912,5.8640604175921816,Cropping %10,0.056818181818181816,43.52982
jazz.00007.wav,22,0123456789012345678912,5.8640604175921816,Amplitude x2,0.011363636363636364,43.52982
jazz.00007.wav,22,0123456789012345678912,5.8640604175921816,Amplitude x0.5,0.011363636363636364,43.52982
jazz.00007.wav,22,0123456789012345678912,5.8640604175921816,TSM +%5,0.5227272727272727,43.52982
jazz.00007.wav,22,0123456789012345678912,5.8640604175921816,TSM -%5,0.4431818181818182,43.52982
jazz.00007.wav,23,01234567890123456789123,6.130608618391826,No Attack,0.010869565217391304,43.28296
jazz.00007.wav,23,01234567890123456789123,6.130608618391826,AWGN 30dB,0.07065217391304347,43.28296
jazz.00007.wav,23,01234567890123456789123,6.130608618391826,AWGN 20dB,0.14673913043478262,43.28296
jazz.00007.wav,23,01234567890123456789123,6.130608618391826,LPF 12kHz,0.010869565217391304,43.28296
jazz.00007.wav,23,01234567890123456789123,6.130608618391826,LPF 8kHz,0.010869565217391304,43.28296
jazz.00007.wav,23,01234567890123456789123,6.130608618391826,Resampling 16kHz,0.010869565217391304,43.28296
jazz.00007.wav,23,01234567890123456789123,6.130608618391826,Cropping %5,0.02717391304347826,43.28296
jazz.00007.wav,23,01234567890123456789123,6.130608618391826,Cropping %10,0.05434782608695652,43.28296
jazz.00007.wav,23,01234567890123456789123,6.130608618391826,Amplitude x2,0.010869565217391304,43.28296
jazz.00007.wav,23,01234567890123456789123,6.130608618391826,Amplitude x0.5,0.010869565217391304,43.28296
jazz.00007.wav,23,01234567890123456789123,6.130608618391826,TSM +%5,0.5217391304347826,43.28296
jazz.00007.wav,23,01234567890123456789123,6.130608618391826,TSM -%5,0.44565217391304346,43.28296
reggae.00095.wav,1,A,0.26666505417956654,No Attack,0.0,59.89511
reggae.00095.wav,1,A,0.26666505417956654,AWGN 30dB,0.0,59.89511
reggae.00095.wav,1,A,0.26666505417956654,AWGN 20dB,0.125,59.89511
reggae.00095.wav,1,A,0.26666505417956654,LPF 12kHz,0.0,59.89511
reggae.00095.wav,1,A,0.26666505417956654,LPF 8kHz,0.0,59.89511
reggae.00095.wav,1,A,0.26666505417956654,Resampling 16kHz,0.0,59.89511
reggae.00095.wav,1,A,0.26666505417956654,Cropping %5,0.0,59.89511
reggae.00095.wav,1,A,0.26666505417956654,Cropping %10,0.0,59.89511
reggae.00095.wav,1,A,0.26666505417956654,Amplitude x2,0.0,59.89511
reggae.00095.wav,1,A,0.26666505417956654,Amplitude x0.5,0.0,59.89511
reggae.00095.wav,1,A,0.26666505417956654,TSM +%5,0.125,59.89511
reggae.00095.wav,1,A,0.26666505417956654,TSM -%5,0.375,59.89511
reggae.00095.wav,4,TEST,1.0666602167182662,No Attack,0.0,51.844223
reggae.00095.wav,4,TEST,1.0666602167182662,AWGN 30dB,0.0625,51.844223
reggae.00095.wav,4,TEST,1.0666602167182662,AWGN 20dB,0.15625,51.844223
reggae.00095.wav,4,TEST,1.0666602167182662,LPF 12kHz,0.0,51.844223
reggae.00095.wav,4,TEST,1.0666602167182662,LPF 8kHz,0.0,51.844223
reggae.00095.wav,4,TEST,1.0666602167182662,Resampling 16kHz,0.0,51.844223
reggae.00095.wav,4,TEST,1.0666602167182662,Cropping %5,0.0,51.844223
reggae.00095.wav,4,TEST,1.0666602167182662,Cropping %10,0.0,51.844223
reggae.00095.wav,4,TEST,1.0666602167182662,Amplitude x2,0.0,51.844223
reggae.00095.wav,4,TEST,1.0666602167182662,Amplitude x0.5,0.0,51.844223
reggae.00095.wav,4,TEST,1.0666602167182662,TSM +%5,0.65625,51.844223
reggae.00095.wav,4,TEST,1.0666602167182662,TSM -%5,0.46875,51.844223
reggae.00095.wav,8,GTZAN_WM,2.1333204334365323,No Attack,0.015625,48.09824
reggae.00095.wav,8,GTZAN_WM,2.1333204334365323,AWGN 30dB,0.015625,48.09824
reggae.00095.wav,8,GTZAN_WM,2.1333204334365323,AWGN 20dB,0.296875,48.09824
reggae.00095.wav,8,GTZAN_WM,2.1333204334365323,LPF 12kHz,0.015625,48.09824
reggae.00095.wav,8,GTZAN_WM,2.1333204334365323,LPF 8kHz,0.015625,48.09824
reggae.00095.wav,8,GTZAN_WM,2.1333204334365323,Resampling 16kHz,0.015625,48.09824
reggae.00095.wav,8,GTZAN_WM,2.1333204334365323,Cropping %5,0.015625,48.09824
reggae.00095.wav,8,GTZAN_WM,2.1333204334365323,Cropping %10,0.015625,48.09824
reggae.00095.wav,8,GTZAN_WM,2.1333204334365323,Amplitude x2,0.015625,48.09824
reggae.00095.wav,8,GTZAN_WM,2.1333204334365323,Amplitude x0.5,0.015625,48.09824
reggae.00095.wav,8,GTZAN_WM,2.1333204334365323,TSM +%5,0.59375,48.09824
reggae.00095.wav,8,GTZAN_WM,2.1333204334365323,TSM -%5,0.390625,48.09824
reggae.00095.wav,19,CAPACITY_TEST_LIMIT,5.0666360294117645,No Attack,0.0,45.309963
reggae.00095.wav,19,CAPACITY_TEST_LIMIT,5.0666360294117645,AWGN 30dB,0.0,45.309963
reggae.00095.wav,19,CAPACITY_TEST_LIMIT,5.0666360294117645,AWGN 20dB,0.19078947368421054,45.309963
